SITE_NAME,SITE_ABBR,RVHA,MSW,LENGTH,WMJT_PRED,CM_AREA_KM,ELEVMEAN,WQ_TYPE,pH,SpCond,TDS,Alk,Acid,SO4,Al,Cd,Cr,Fe,Mn,Ni,Ca,Mg,AMNA_N,AMRU_N,CAAN_N,CACO_N,CLFU_N,COBA_N,ETBL_N,ETFL_N,ETNI_N,ETVA_N,ETZO_N,HYBRID_N,HYNI_N,LECY_N,LEGI_N,LEMA_N,LUCH_N,MAMA_N,MIDO_N,MIPU_N,MISA_N,MODU_N,NOAR_N,NOBU_N,NOMI_N,NOPH_N,NORU_N,NOVO_N,ONMY_N,PECA_N,PEMA_N,PHOR_N,PINO_N,RHAT_N,RHCA_N,SAFO_N,SATR_N,SEAT_N,TOTALS,RICH,IBISCORE,IBI_CATEGORY
Sand Run,SARN,141,12,300,21.5,73.2,501.1,H,6.98,201,0.13,158,63.76,26.9,0,0,0,0.054,0.034,0,7.22,2.51,2,49,102,4,0,99,84,4,0,0,0,0,44,1,2,0,59,0,65,0,1,0,0,0,420,0,0,0,0,4,3,0,105,0,0,0,0,44,1092,16,84.4,E
Laurel Fork Mouth,LFMO,188,14,300,20.8,156,736.6,R,7.79,101,0.066,21.18,6.87,6.6,0,0.0028,0,0.033,0,0.0042,8.43,0.95,0,7,51,0,0,94,13,0,0,0,0,0,24,2,0,0,0,0,18,0,0,0,0,0,130,26,0,0,0,0,0,0,0,0,283,0,0,0,648,9,73.3,G
Loglick Run,LGRN,141,3,150,17.5,7.9,683,R,7.42,38,0.025,5.7,0,6.35,0,0,0.0023,0.0076,0,0,2.91,1.11,0,0,27,0,0,528,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,32,0,0,4,677,7,63.3,F
Island Run,ISRN,157,3,150,17.4,3.1,569.1,H,5.8,140,0.091,9.26,0,33.4,0,0,0.0028,0.32,0.77,0.0082,15.3,4.87,0,1,0,1,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,138,4,47.7,P
Leading Creek,LDCK,122,14,300,22.2,124.1,596.3,T,7.39,159,0.103,16.41,7.39,22.2,0.032,0.01,0,0.25,0,0.026,9.58,3.57,6,47,673,0,0,0,0,17,0,0,0,0,89,38,6,2,22,0,41,0,1,0,0,0,23,0,23,0,0,0,0,0,199,2,0,0,0,116,1305,13,77.7,G
Laurel Creek (Middle Fork),LCMF,148,6,240,19.6,21.6,600.8,T,7.5,71,0.046,14.98,0,7.27,0.039,0,0.0036,0.056,0,0,6.5,0.85,0,16,0,0,0,138,0,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,10,0,0,0,6,0,0,0,0,149,0,1,1,13,370,10,64.4,F
McCray Creek,MCCY,150,4,160,16,4.4,944.1,T,8.11,25,0.016,54.7,0,8.5,0.64,0.0012,8.00E-04,0.05,0.017,0,1.716,0.948,0,1,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,6,52,7,79.9,G
Long Run,LNRN,137,5,200,18.1,16.9,684.7,R,6.88,38,0.025,7.75,0,6.74,0,0,0.0024,0.035,0.01,0,3.23,1.21,0,14,0,5,0,191,0,4,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,0,9,0,48,337,11,81.5,G
Daniels Run,DANR,159,5,200,17.4,9.3,933.9,R,6.99,21,0.014,3.9,4.8,8.8,0.05,0.0019,0,0.07,0.008,0.004,1.836,0.888,0,0,16,4,27,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,1,0,70,220,9,75.5,G
Glady Fork (Upper),GFUP,181,10,300,20.5,57.8,860,T,6.93,35,0.022,11.6,0,6.8,0.56,5.00E-04,0,0.11,0.038,0,3.02,0.9,0,23,26,9,38,235,26,0,0,0,0,1,26,22,3,8,8,0,9,0,1,0,0,0,88,0,20,0,0,0,0,0,0,13,28,3,0,14,601,18,73.3,G
Left Fork Files Creek,LFCR,160,5,200,18.5,17.4,668.6,T,6.68,56,0.036,16.57,0,6.73,0.28,0,0.0023,0.34,0.33,0,7.28,1.5,0,4,14,0,19,171,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,72,3,6,13,369,12,78.8,G
